SWIFT CODE;NAME;ADDRESS
BPKOPLPWWRD;PKO BANK POLSKI S.A.;WITA STWOSZA 12  WROCLAW, DOLNOSLASKIE, 50-950
BPKOPLPWXXX;PKO BANK POLSKI S.A.;UL. PULAWSKA 15  WARSZAWA, MAZOWIECKIE, 02-515
BPPBMCMCXXX;BNP PARIBAS WEALTH MANAGEMENT MONACO;15-17 AVENUE D'OSTENDE  MONACO, MONACO, 98000
BPSOUYM1XXX;BANCO DE PREVISION SOCIAL;FERNANDEZ CRESPO 1621  MONTEVIDEO, MONTEVIDEO, 11200
BREXPLPWBIA;MBANK S.A. (FORMERLY BRE BANK S.A.);UL. SWIETOJANSKA 15  BIALYSTOK, PODLASKIE, 15-277
BREXPLPWBIB;MBANK S.A. (FORMERLY BRE BANK S.A.);PLAC WOLNOSCI 7  BIELSKO BIALA, SLASKIE, 43-300
BREXPLPWBYD;MBANK S.A. (FORMERLY BRE BANK S.A.);GRODZKA 19-21  - BYDGOSZCZ KUJAWSKO-POMORSKIE, 85-109 
BREXPLPWCUS;MBANK S.A. (FORMERLY BRE BANK S.A.);CYBERNETYKI 7A  WARSZAWA, MAZOWIECKIE, 02-677
BREXPLPWCZE;MBANK S.A. (FORMERLY BRE BANK S.A.);JASNOGORSKA 79  CZESTOCHOWA, SLASKIE, 42-217
BREXPLPWGDA;MBANK S.A. (FORMERLY BRE BANK S.A.);JANA Z KOLNA 11  GDANSK, POMORSKIE, 80-864
BREXPLPWGDY;MBANK S.A. (FORMERLY BRE BANK S.A.);SLASKA 47  GDYNIA, POMORSKIE, 81-310
BREXPLPWGOR;MBANK S.A. (FORMERLY BRE BANK S.A.);PRZEMYSLOWA 2  - GORZOW WIELKOPOLSKI, LUBUSKIE, 66-400 
BREXPLPWKAL;MBANK S.A. (FORMERLY BRE BANK S.A.);FRYDERYKA CHOPINA 26/28  KALISZ, WIELKOPOLSKIE, 62-800
BREXPLPWKAT;MBANK S.A. (FORMERLY BRE BANK S.A.);POWSTANCOW 43  KATOWICE, SLASKIE, 40-024
BREXPLPWKIE;MBANK S.A. (FORMERLY BRE BANK S.A.);IX WIEKOW KIELC 4  KIELCE, SWIETOKRZYSKIE, 25-516
BREXPLPWKOS;MBANK S.A. (FORMERLY BRE BANK S.A.);OKRZEI 3  - KOSZALIN ZACHODNIOPOMORSKIE, 75-203 
BREXPLPWKRA;MBANK S.A. (FORMERLY BRE BANK S.A.);AUGUSTIANSKA 15  KRAKOW, MALOPOLSKIE, 31-064
BREXPLPWLOD;MBANK S.A. (FORMERLY BRE BANK S.A.);JANA KILINSKIEGO 74  LODZ, LODZKIE, 90-119
BREXPLPWLUB;MBANK S.A. (FORMERLY BRE BANK S.A.);SPOKOJNA 2  LUBLIN, LUBELSKIE, 20-074
BREXPLPWMBK;MBANK S.A. (FORMERLY BRE BANK S.A.);SKRYTKA POCZTOWA 2108  LODZ, LODZKIE, 90-959
BREXPLPWMUL;MBANK S.A. (FORMERLY BRE BANK S.A.);SKRYTKA POCZTOWA 2108  LODZ, LODZKIE, 90-959
BREXPLPWNWS;MBANK S.A. (FORMERLY BRE BANK S.A.);PRAZMOWSKIEGO 11  NOWY SACZ, MALOPOLSKIE, 33-300
BREXPLPWOLS;MBANK S.A. (FORMERLY BRE BANK S.A.);PILSUDSKIEGO 44A  - OLSZTYN WARMINSKO-MAZURSKIE, 10-450 
